"date","material","colada","prod"
2023-01-06,303661,"B00011325",129.628
2023-01-06,303661,"B00011326",121.174
2023-01-06,303661,"B00011327",126.9
2023-01-06,303661,"B00011328",95.88
2023-01-07,303661,"B00011329",138.18
2023-01-07,303661,"B00011330",132.54
2023-01-07,303661,"B00011331",135.36
2023-01-07,303661,"B00011332",135.36
2023-01-07,303661,"B00011333",135.36
2023-01-07,303661,"B00011334",135.36
2023-01-07,303661,"B00011335",135.36
2023-01-07,303661,"B00011336",129.95
2023-01-07,303661,"B00011337",132.775
2023-01-07,303661,"B00011338",129.95
2023-01-07,303661,"B00011339",132.775
2023-01-07,303661,"B00011340",132.54
2023-01-07,303661,"B00011341",132.54
2023-01-07,303661,"B00011342",132.869
2023-01-07,303661,"B00011343",132.728
2023-01-07,303661,"B00011344",132.728
2023-01-07,303661,"B00011345",132.728
2023-01-07,303661,"B00011346",138.18
2023-01-07,303661,"B00011347",135.36
2023-01-07,303661,"B00011348",132.54
2023-01-07,303661,"B00011349",117.64
2023-01-07,303661,"B00011350",141
2023-01-07,303661,"B00011351",109.98
2023-01-08,303661,"B00011352",118.44
2023-01-08,303661,"B00011353",135.36
2023-01-08,303661,"B00011354",141.2
2023-01-08,303661,"B00011355",107.312
2023-01-08,303661,"B00011356",197.64
2023-01-08,303661,"B00011357",104.488
2023-01-08,303661,"B00011358",132.728
2023-01-08,303661,"B00011359",135.504
2023-01-08,303661,"B00011360",135.504
2023-01-08,303661,"B00011361",132.681
2023-01-08,303661,"B00011362",132.681
2023-01-08,303661,"B00011363",138.327
2023-01-08,303661,"B00011364",146.64
2023-01-08,303661,"B00011365",135.36
2023-01-08,303661,"B00011366",129.72
2023-01-08,303661,"B00011367",132.916
2023-01-08,303661,"B00011368",135.744
2023-01-08,303661,"B00011369",130.088
2023-01-08,303661,"B00011370",135.744
2023-01-08,303661,"B00011371",132.54
2023-01-08,303661,"B00011372",132.54
2023-01-08,303661,"B00011373",132.54
2023-01-08,303661,"B00011374",126.81
2023-01-08,303661,"B00011375",129.628
2023-01-08,303661,"B00011376",132.446
2023-01-08,303661,"B00011377",132.446
2023-01-08,303661,"B00011378",129.628
2023-01-08,303661,"B00011379",129.858
2023-01-08,303661,"B00011380",132.681
2023-01-08,303661,"B00011381",129.858
2023-01-08,303661,"B00011382",129.858
2023-01-08,303661,"B00011383",135.504
2023-01-08,303661,"B00011384",132.681
2023-01-09,303710,"B00011385",121.26
2023-01-09,303710,"B00011386",42.3
